=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;RANDOM_SELECTION;0.3;179.0;313.0;186.0;19.394936;3.8789864;320.0
1;1.0;RANDOM_SELECTION;0.3;168.0;340.0;169.0;13.156059;2.6312115;341.0
2;1.0;RANDOM_SELECTION;0.3;165.0;310.0;162.0;15.191218;3.038243;307.0
3;1.0;RANDOM_SELECTION;0.3;177.0;320.0;171.0;13.979783;2.7959564;314.0
4;1.0;RANDOM_SELECTION;0.3;158.0;322.0;172.0;8.947998;1.7895994;336.0
5;1.0;RANDOM_SELECTION;0.3;164.0;340.0;153.0;20.093914;4.0187836;329.0
6;1.0;RANDOM_SELECTION;0.3;174.0;311.0;177.0;17.641275;3.5282545;314.0
7;1.0;RANDOM_SELECTION;0.3;186.0;334.0;180.0;15.920549;3.1841102;328.0
8;1.0;RANDOM_SELECTION;0.3;175.0;306.0;195.0;16.714798;3.34296;326.0
9;1.0;RANDOM_SELECTION;0.3;161.0;310.0;179.0;20.271805;4.0543623;328.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;RANDOM_SELECTION;0.3;179.0;313.0;186.0;19.394936;3.8789864;320.0
1;1.0;RANDOM_SELECTION;0.3;168.0;340.0;169.0;13.156059;2.6312115;341.0
2;1.0;RANDOM_SELECTION;0.3;165.0;310.0;162.0;15.191218;3.038243;307.0
3;1.0;RANDOM_SELECTION;0.3;177.0;320.0;171.0;13.979783;2.7959564;314.0
4;1.0;RANDOM_SELECTION;0.3;158.0;322.0;172.0;8.947998;1.7895994;336.0
5;1.0;RANDOM_SELECTION;0.3;164.0;340.0;153.0;20.093914;4.0187836;329.0
6;1.0;RANDOM_SELECTION;0.3;174.0;311.0;177.0;17.641275;3.5282545;314.0
7;1.0;RANDOM_SELECTION;0.3;186.0;334.0;180.0;15.920549;3.1841102;328.0
8;1.0;RANDOM_SELECTION;0.3;175.0;306.0;195.0;16.714798;3.34296;326.0
9;1.0;RANDOM_SELECTION;0.3;161.0;310.0;179.0;20.271805;4.0543623;328.0

0;0;RANDOM_SELECTION;[];[]
0;1;RANDOM_SELECTION;[];[]
0;2;RANDOM_SELECTION;[];[]
0;3;RANDOM_SELECTION;[];[]
0;4;RANDOM_SELECTION;[];[]
0;5;RANDOM_SELECTION;[];[]
0;6;RANDOM_SELECTION;[];[]
0;7;RANDOM_SELECTION;[];[]
0;8;RANDOM_SELECTION;[];[]
0;9;RANDOM_SELECTION;[];[]
1;0;RANDOM_SELECTION;[];[]
1;1;RANDOM_SELECTION;[(231043927,0.0000),(232030358,0.0000),(231043511,0.0000),(232032082,0.0000),(231039754,0.0000),(231039902,0.0000),(231041105,0.0000),(232030631,0.0000),(231041190,0.0000),(232029856,0.0000),(242108313,0.0000),(231043031,0.0000),(232029716,0.0000),(232028335,0.0000),(231043349,0.0000),(242002586,0.0000),(231041734,0.0000),(232031400,0.0000),(231041073,0.0000),(232029012,0.0000),(232032468,0.0000),(231041166,0.0000),(231040909,0.0000),(231041106,0.0000),(232028251,0.0000),(231041661,0.0000),(232030074,0.0000),(232032203,0.0000),(232032701,0.0000),(232028043,0.0000),(232029021,0.0000),(231039734,0.0000),(231041551,0.0000),(231042372,0.0000),(232031320,0.0000),(231044047,0.0000),(231039900,0.0000),(231042151,0.0000),(244074910,0.0000),(231044441,0.0000),(232030661,0.0000),(231042068,0.0000),(232028029,0.0000),(231039994,0.0000),(231040549,0.0000),(232031415,0.0000),(231040168,0.0000),(232029615,0.0000),(231044951,0.0000),(231040826,0.0000)];[(231043927,0.0000),(232030358,0.0000),(231043511,0.0000),(232032082,0.0000),(231039754,0.0000)]
1;2;RANDOM_SELECTION;[];[]
1;3;RANDOM_SELECTION;[];[]
1;4;RANDOM_SELECTION;[(235812472,0.0000),(231043569,0.0000),(232032002,0.0000),(244075610,0.0000),(232029937,0.0000),(232028752,0.0000),(231043847,0.0000),(232027747,0.0000),(400007050,0.0000),(232032209,0.0000),(231043887,0.0000),(231042118,0.0000),(400005739,0.0000),(231040072,0.0000),(231042254,0.0000),(231040040,0.0000),(232028586,0.0000),(232030136,0.0000),(231045742,0.0000),(231041077,0.0000),(231040118,0.0000),(232031457,0.0000),(236002425,0.0000),(232027462,0.0000),(232031410,0.0000),(232032152,0.0000),(232030726,0.0000),(232032291,0.0000),(231041612,0.0000),(232031653,0.0000),(231040473,0.0000),(231043944,0.0000),(232028873,0.0000),(232027997,0.0000),(231041744,0.0000),(232030505,0.0000),(232031602,0.0000),(231043251,0.0000),(232032686,0.0000),(231040048,0.0000),(231040577,0.0000),(231040781,0.0000),(400000844,0.0000),(232027534,0.0000),(231044625,0.0000),(231044690,0.0000),(232031364,0.0000),(231042598,0.0000),(230000346,0.0000),(231041104,0.0000)];[(235812472,0.0000),(231043569,0.0000),(232032002,0.0000),(244075610,0.0000),(232029937,0.0000)]
1;5;RANDOM_SELECTION;[(236002425,0.0000),(231041216,0.0000),(231044103,0.0000),(231040465,0.0000),(232031812,0.0000),(231042696,0.0000),(231039807,0.0000),(232031514,0.0000),(232028755,0.0000),(231041596,0.0000),(232030850,0.0000),(232028478,0.0000),(231043700,0.0000),(281000659,0.0000),(231041936,0.0000),(232032179,0.0000),(232028060,0.0000),(232027519,0.0000),(242108910,0.0000),(231040291,0.0000),(232028816,0.0000),(231044885,0.0000),(232032052,0.0000),(231040251,0.0000),(232032252,0.0000),(231042237,0.0000),(232031766,0.0000),(232027533,0.0000),(231044693,0.0000),(231041395,0.0000),(232029606,0.0000),(232032755,0.0000),(231039745,0.0000),(231042229,0.0000),(281000661,0.0000),(231041069,0.0000),(232029556,0.0000),(232030595,0.0000),(231041224,0.0000),(231041331,0.0000),(286019969,0.0000),(231039929,0.0000),(231041247,0.0000),(231044567,0.0000),(231042333,0.0000),(231043362,0.0000),(232030955,0.0000),(232028182,0.0000),(232031755,0.0000),(231041635,0.0000)];[(236002425,0.0000),(231041216,0.0000),(231044103,0.0000),(231040465,0.0000),(232031812,0.0000)]
1;6;RANDOM_SELECTION;[(232030879,0.0000),(232030547,0.0000),(231040069,0.0000),(231043825,0.0000),(231043775,0.0000),(231040266,0.0000),(232028305,0.0000),(232029551,0.0000),(231039877,0.0000),(231040064,0.0000),(232029840,0.0000),(281000665,0.0000),(231041824,0.0000),(232028026,0.0000),(232030751,0.0000),(231040591,0.0000),(232027922,0.0000),(232027960,0.0000),(232029238,0.0000),(232030097,0.0000),(232031465,0.0000),(231041875,0.0000),(400000963,0.0000),(231042714,0.0000),(232027682,0.0000),(231040639,0.0000),(232029573,0.0000),(231040139,0.0000),(231039686,0.0000),(231040947,0.0000),(232029882,0.0000),(232027555,0.0000),(231041734,0.0000),(232029998,0.0000),(231042468,0.0000),(231043052,0.0000),(231040798,0.0000),(232031045,0.0000),(232032155,0.0000),(231040699,0.0000),(232027914,0.0000),(232029696,0.0000),(231039742,0.0000),(232031964,0.0000),(232027994,0.0000),(231039894,0.0000),(231041256,0.0000),(232030482,0.0000),(231040162,0.0000)];[(232030879,0.0000),(232030547,0.0000),(231040069,0.0000),(231043825,0.0000),(231043775,0.0000)]
1;7;RANDOM_SELECTION;[];[]
1;8;RANDOM_SELECTION;[(232030372,0.0000),(232028916,0.0000),(232029537,0.0000),(231040481,0.0000),(239016104,0.0000),(232029858,0.0000),(231043301,0.0000),(232029712,0.0000),(231041070,0.0000),(232027538,0.0000),(400000284,0.0000),(232028601,0.0000),(232030831,0.0000),(231039969,0.0000),(232029578,0.0000),(231041299,0.0000),(232028077,0.0000),(231045340,0.0000),(232030477,0.0000),(232028588,0.0000),(231043172,0.0000),(232027817,0.0000),(231040316,0.0000),(232028401,0.0000),(231040413,0.0000),(231042408,0.0000),(231042678,0.0000),(400007807,0.0000),(232030127,0.0000),(231042758,0.0000),(232027692,0.0000),(232027578,0.0000),(231044827,0.0000),(231045075,0.0000),(231039797,0.0000),(232030864,0.0000),(231041135,0.0000),(231039940,0.0000),(231044516,0.0000),(232029426,0.0000),(231043542,0.0000),(232029430,0.0000),(231039746,0.0000),(232028645,0.0000),(232031809,0.0000),(232028712,0.0000),(232029688,0.0000),(232030238,0.0000),(235812822,0.0000),(231045717,0.0000)];[(232030372,0.0000),(232028916,0.0000),(232029537,0.0000),(231040481,0.0000),(239016104,0.0000)]
1;9;RANDOM_SELECTION;[(232028937,0.0000),(231043481,0.0000),(231040354,0.0000),(232029891,0.0000),(232029213,0.0000),(231044710,0.0000),(231043076,0.0000),(232032305,0.0000),(232031361,0.0000),(231043758,0.0000),(231040125,0.0000),(231045787,0.0000),(232030962,0.0000),(232028600,0.0000),(231042793,0.0000),(231042285,0.0000),(232030358,0.0000),(232027793,0.0000),(232028262,0.0000),(232028580,0.0000),(231041407,0.0000),(231040385,0.0000),(400007535,0.0000),(231040422,0.0000),(231041057,0.0000),(232029804,0.0000),(231041260,0.0000),(232031506,0.0000),(231045719,0.0000),(231040939,0.0000),(231040802,0.0000),(231043441,0.0000),(232028260,0.0000),(232028287,0.0000),(231045080,0.0000),(231039998,0.0000),(232028535,0.0000),(231039883,0.0000),(231042468,0.0000),(232029472,0.0000),(261001884,0.0000),(231045619,0.0000),(232029588,0.0000),(232028040,0.0000),(232029826,0.0000),(231041181,0.0000),(231041859,0.0000),(244068365,0.0000),(232028454,0.0000),(231043709,0.0000)];[(232028937,0.0000),(231043481,0.0000),(231040354,0.0000),(232029891,0.0000),(232029213,0.0000)]
2;0;RANDOM_SELECTION;[(231045483,0.0000),(232032003,0.0000),(231042147,0.0000),(231043269,0.0000),(231041660,0.0000),(232028047,0.0000),(231039795,0.0000),(232028359,0.0000),(231041667,0.0000),(231044414,0.0000),(261001463,0.0000),(232028002,0.0000),(232029489,0.0000),(232029110,0.0000),(232027846,0.0000),(232028369,0.0000),(231041759,0.0000),(232030353,0.0000),(232028135,0.0000),(231044648,0.0000),(231040743,0.0000),(242003113,0.0000),(231040642,0.0000),(232028156,0.0000),(232027439,0.0000),(232027621,0.0000),(232030412,0.0000),(231040534,0.0000),(231044774,0.0000),(231043088,0.0000),(232030959,0.0000),(242002966,0.0000),(232029914,0.0000),(400000963,0.0000),(231041089,0.0000),(242109280,0.0000),(232031526,0.0000),(231040493,0.0000),(232028391,0.0000),(231040163,0.0000),(232032219,0.0000),(232032598,0.0000),(231045860,0.0000),(232030271,0.0000),(231042669,0.0000),(232030917,0.0000),(232027768,0.0000),(232029273,0.0000),(231041395,0.0000),(232027600,0.0000)];[(231045483,0.0000),(232032003,0.0000),(231042147,0.0000),(231043269,0.0000),(231041660,0.0000)]
