=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;RANDOM_SELECTION;0.3;167.0;325.0;177.0;15.874613;3.174924;335.0
1;1.0;RANDOM_SELECTION;0.3;159.0;311.0;166.0;14.520957;2.9041915;318.0
2;1.0;RANDOM_SELECTION;0.3;164.0;318.0;162.0;14.412968;2.8825932;316.0
3;1.0;RANDOM_SELECTION;0.3;158.0;321.0;176.0;14.238428;2.847686;339.0
4;1.0;RANDOM_SELECTION;0.3;172.0;335.0;149.0;13.9140835;2.7828164;312.0
5;1.0;RANDOM_SELECTION;0.3;158.0;311.0;158.0;14.697808;2.939561;311.0
6;1.0;RANDOM_SELECTION;0.3;155.0;299.0;158.0;12.8649235;2.5729847;302.0
7;1.0;RANDOM_SELECTION;0.3;161.0;339.0;174.0;12.791471;2.5582938;352.0
8;1.0;RANDOM_SELECTION;0.3;160.0;310.0;156.0;14.862091;2.972418;306.0
9;1.0;RANDOM_SELECTION;0.3;177.0;355.0;170.0;19.48718;3.8974354;348.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;RANDOM_SELECTION;0.3;167.0;325.0;177.0;15.874613;3.174924;335.0
1;1.0;RANDOM_SELECTION;0.3;158.0;307.0;164.0;14.520957;2.9041915;313.0
2;1.0;RANDOM_SELECTION;0.3;161.0;313.0;159.0;14.22064;2.8441277;311.0
3;1.0;RANDOM_SELECTION;0.3;158.0;321.0;176.0;14.238428;2.847686;339.0
4;1.0;RANDOM_SELECTION;0.3;169.0;328.0;148.0;13.822945;2.7645888;307.0
5;1.0;RANDOM_SELECTION;0.3;158.0;311.0;158.0;14.697808;2.939561;311.0
6;1.0;RANDOM_SELECTION;0.3;155.0;299.0;158.0;12.8649235;2.5729847;302.0
7;1.0;RANDOM_SELECTION;0.3;159.0;335.0;170.0;12.648114;2.5296226;346.0
8;1.0;RANDOM_SELECTION;0.3;159.0;309.0;154.0;14.84417;2.968834;304.0
9;1.0;RANDOM_SELECTION;0.3;177.0;355.0;170.0;19.48718;3.8974354;348.0

0;0;RANDOM_SELECTION;[];[]
0;1;RANDOM_SELECTION;[];[]
0;2;RANDOM_SELECTION;[];[]
0;3;RANDOM_SELECTION;[];[]
0;4;RANDOM_SELECTION;[];[]
0;5;RANDOM_SELECTION;[];[]
0;6;RANDOM_SELECTION;[];[]
0;7;RANDOM_SELECTION;[];[]
0;8;RANDOM_SELECTION;[];[]
0;9;RANDOM_SELECTION;[];[]
1;0;RANDOM_SELECTION;[(231041886,0.0000),(232029402,0.0000),(232031283,0.0000),(232028349,0.0000),(232028456,0.0000),(232029957,0.0000),(231042687,0.0000),(400005804,0.0000),(231041669,0.0000),(232028784,0.0000),(231039783,0.0000),(231039831,0.0000),(232031690,0.0000),(232028820,0.0000),(286019645,0.0000),(232030217,0.0000),(231041340,0.0000),(232029126,0.0000),(232028508,0.0000),(232028596,0.0000),(232028200,0.0000),(232031850,0.0000),(232032553,0.0000),(232027718,0.0000),(231045778,0.0000),(232029886,0.0000),(231040551,0.0000),(231040476,0.0000),(232028022,0.0000),(231040922,0.0000),(232027751,0.0000),(231042957,0.0000),(232030049,0.0000),(231043959,0.0000),(231045543,0.0000),(232028098,0.0000),(231043546,0.0000),(232030551,0.0000),(232028019,0.0000),(231042688,0.0000),(231043022,0.0000),(231039804,0.0000),(231043995,0.0000),(231041798,0.0000),(231043401,0.0000),(231040987,0.0000),(231042071,0.0000),(231040347,0.0000),(231042341,0.0000)];[(231041886,0.0000),(232029402,0.0000),(232031283,0.0000),(232028349,0.0000),(232028456,0.0000)]
1;1;RANDOM_SELECTION;[];[]
1;2;RANDOM_SELECTION;[(232028060,0.0000),(286018636,0.0000),(232031915,0.0000),(232027860,0.0000),(231040177,0.0000),(232027901,0.0000),(231040521,0.0000),(231040699,0.0000),(232028508,0.0000),(231045784,0.0000),(231040942,0.0000),(231040090,0.0000),(232032190,0.0000),(231040696,0.0000),(232032679,0.0000),(231044079,0.0000),(232030616,0.0000),(232027863,0.0000),(232028302,0.0000),(261001886,0.0000),(231043186,0.0000),(232032321,0.0000),(231040642,0.0000),(232029840,0.0000),(232029624,0.0000),(232028838,0.0000),(232029110,0.0000),(231040084,0.0000),(231043231,0.0000),(245017889,0.0000),(231039695,0.0000),(232031319,0.0000),(232027982,0.0000),(231040793,0.0000),(232028625,0.0000),(232031016,0.0000),(231042092,0.0000),(232029757,0.0000),(232030425,0.0000),(232030937,0.0000),(232028712,0.0000),(244075791,0.0000),(232027725,0.0000),(232031343,0.0000),(231045741,0.0000),(231043750,0.0000),(231042824,0.0000),(231040226,0.0000),(232027883,0.0000),(232028377,0.0000)];[(232028060,0.0000),(286018636,0.0000),(232031915,0.0000),(232027860,0.0000),(231040177,0.0000)]
1;3;RANDOM_SELECTION;[];[]
1;4;RANDOM_SELECTION;[];[]
1;5;RANDOM_SELECTION;[(231043900,0.0000),(231043045,0.0000),(231040742,0.0000),(231045174,0.0000),(231040850,0.0000),(231042718,0.0000),(232029766,0.0000),(231043490,0.0000),(232029360,0.0000),(232029576,0.0000),(231042103,0.0000),(231043944,0.0000),(231040522,0.0000),(231042484,0.0000),(231041596,0.0000),(232028077,0.0000),(232028603,0.0000),(231040613,0.0000),(231042814,0.0000),(231040709,0.0000),(232029092,0.0000),(232030939,0.0000),(231040749,0.0000),(232031874,0.0000),(232030822,0.0000),(231041793,0.0000),(232031833,0.0000),(231042455,0.0000),(232030277,0.0000),(231044300,0.0000),(231041576,0.0000),(232030132,0.0000),(232031256,0.0000),(232029344,0.0000),(232027918,0.0000),(232029911,0.0000),(231041377,0.0000),(231041300,0.0000),(232030438,0.0000),(231039835,0.0000),(232031196,0.0000),(231045783,0.0000),(232028880,0.0000),(232031544,0.0000),(235813456,0.0000),(232028572,0.0000),(231041243,0.0000),(232029308,0.0000),(231044516,0.0000),(231040441,0.0000)];[(231043900,0.0000),(231043045,0.0000),(231040742,0.0000),(231045174,0.0000),(231040850,0.0000)]
1;6;RANDOM_SELECTION;[];[]
1;7;RANDOM_SELECTION;[(231040245,0.0000),(232030151,0.0000),(232027792,0.0000),(231039736,0.0000),(231043119,0.0000),(232032329,0.0000),(231040979,0.0000),(232029663,0.0000),(231044635,0.0000),(231043130,0.0000),(232030438,0.0000),(231043876,0.0000),(231043061,0.0000),(232031747,0.0000),(232029298,0.0000),(232028645,0.0000),(242108724,0.0000),(232032252,0.0000),(231044334,0.0000),(232029018,0.0000),(231040159,0.0000),(231040102,0.0000),(231041033,0.0000),(232028640,0.0000),(232030541,0.0000),(232029075,0.0000),(232032618,0.0000),(231045513,0.0000),(232027492,0.0000),(231042204,0.0000),(232029654,0.0000),(231039920,0.0000),(231039707,0.0000),(231042075,0.0000),(231041165,0.0000),(232027691,0.0000),(231041851,0.0000),(231042774,0.0000),(232029951,0.0000),(232027642,0.0000),(231040964,0.0000),(232029202,0.0000),(232030306,0.0000),(231040678,0.0000),(231043958,0.0000),(232027789,0.0000),(232027550,0.0000),(231043068,0.0000),(239016078,0.0000),(232028873,0.0000)];[(231040245,0.0000),(232030151,0.0000),(232027792,0.0000),(231039736,0.0000),(231043119,0.0000)]
1;8;RANDOM_SELECTION;[];[]
1;9;RANDOM_SELECTION;[];[]
2;0;RANDOM_SELECTION;[(232032553,0.0000),(231042688,0.0000),(232028508,0.0000),(231040922,0.0000),(231043022,0.0000),(231042957,0.0000),(232030217,0.0000),(231043401,0.0000),(232027751,0.0000),(231045778,0.0000),(232031283,0.0000),(231043546,0.0000),(231041886,0.0000),(231041340,0.0000),(232031850,0.0000),(231043703,0.0000),(231040987,0.0000),(232032156,0.0000),(232030551,0.0000),(400005804,0.0000),(232031414,0.0000),(232028200,0.0000),(231045543,0.0000),(232028349,0.0000),(232028022,0.0000),(231039831,0.0000),(286019645,0.0000),(400007044,0.0000),(232029886,0.0000),(231042305,0.0000),(232028784,0.0000),(232028098,0.0000),(231043995,0.0000),(232028596,0.0000),(231039783,0.0000),(231040476,0.0000),(232028820,0.0000),(232029126,0.0000),(232030504,0.0000),(232029957,0.0000),(231039804,0.0000),(231040551,0.0000),(231043959,0.0000),(231041245,0.0000),(231041798,0.0000),(231042687,0.0000),(231042341,0.0000),(232030049,0.0000),(232031690,0.0000)];[(232032553,0.0000),(231042688,0.0000),(232028508,0.0000),(231040922,0.0000),(231043022,0.0000)]
2;1;RANDOM_SELECTION;[(400004262,0.0000),(231042562,0.0000),(231040407,0.0000),(207009215,0.0000),(232029610,0.0000),(231042883,0.0000),(400006871,0.0000),(232031940,0.0000),(232031539,0.0000),(231042354,0.0000),(231040932,0.0000),(231044942,0.0000),(232030601,0.0000),(232028885,0.0000),(231042015,0.0000),(231041163,0.0000),(232030541,0.0000),(231041046,0.0000),(231043614,0.0000),(231040905,0.0000),(231041064,0.0000),(231043256,0.0000),(231041343,0.0000),(242108403,0.0000),(231044394,0.0000),(231041059,0.0000),(231041218,0.0000),(232028580,0.0000),(231043744,0.0000),(231039770,0.0000),(231040960,0.0000),(232027806,0.0000),(231041731,0.0000),(232030254,0.0000),(232028707,0.0000),(232032283,0.0000),(231043465,0.0000),(232030382,0.0000),(231045852,0.0000),(232031837,0.0000),(231040917,0.0000),(231043503,0.0000),(231040512,0.0000),(231044693,0.0000),(235814846,0.0000),(231040429,0.0000),(231043261,0.0000),(232031287,0.0000),(232032313,0.0000),(232029012,0.0000)];[(400004262,0.0000),(231042562,0.0000),(231040407,0.0000),(207009215,0.0000),(232029610,0.0000)]
2;2;RANDOM_SELECTION;[(232027883,0.0000),(232032321,0.0000),(231040226,0.0000),(232032679,0.0000),(232027725,0.0000),(232031343,0.0000),(261001886,0.0000),(231042824,0.0000),(231043231,0.0000),(231040696,0.0000),(231040699,0.0000),(232027860,0.0000),(231040793,0.0000),(231040656,0.0000),(232028625,0.0000),(231040090,0.0000),(231044079,0.0000),(232028302,0.0000),(231040177,0.0000),(232028712,0.0000),(232031319,0.0000),(231040615,0.0000),(232029624,0.0000),(232030425,0.0000),(232029757,0.0000),(232028989,0.0000),(232032190,0.0000),(231040868,0.0000),(231040521,0.0000),(232030616,0.0000),(232030110,0.0000),(231040049,0.0000),(231040942,0.0000),(231043750,0.0000),(231039695,0.0000),(231040642,0.0000),(231045741,0.0000),(232027982,0.0000),(232030937,0.0000),(286018636,0.0000),(232028377,0.0000),(245017889,0.0000),(232029110,0.0000),(231045784,0.0000),(232027901,0.0000),(232029840,0.0000),(232028838,0.0000),(231043986,0.0000),(232027863,0.0000),(232028508,0.0000)];[(232027883,0.0000),(232032321,0.0000),(231040226,0.0000),(232032679,0.0000),(232027725,0.0000)]
