=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;RANDOM_SELECTION;0.1;162.0;328.0;166.0;16.779928;3.3559859;332.0
1;1.0;RANDOM_SELECTION;0.1;171.0;343.0;169.0;15.283004;3.0566015;341.0
2;1.0;RANDOM_SELECTION;0.1;178.0;333.0;169.0;14.203271;2.840654;324.0
3;1.0;RANDOM_SELECTION;0.1;195.0;340.0;200.0;15.813708;3.1627417;345.0
4;1.0;RANDOM_SELECTION;0.1;164.0;331.0;167.0;11.3251505;2.2650306;334.0
5;1.0;RANDOM_SELECTION;0.1;176.0;353.0;181.0;12.166307;2.433262;358.0
6;1.0;RANDOM_SELECTION;0.1;164.0;327.0;169.0;15.858725;3.171745;332.0
7;1.0;RANDOM_SELECTION;0.1;176.0;327.0;171.0;15.734218;3.146844;322.0
8;1.0;RANDOM_SELECTION;0.1;171.0;314.0;175.0;13.67711;2.7354221;318.0
9;1.0;RANDOM_SELECTION;0.1;169.0;327.0;189.0;15.266039;3.0532076;347.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;RANDOM_SELECTION;0.1;162.0;328.0;166.0;16.779928;3.3559859;332.0
1;1.0;RANDOM_SELECTION;0.1;171.0;343.0;169.0;15.283004;3.0566015;341.0
2;1.0;RANDOM_SELECTION;0.1;178.0;333.0;169.0;14.203271;2.840654;324.0
3;1.0;RANDOM_SELECTION;0.1;195.0;340.0;200.0;15.813708;3.1627417;345.0
4;1.0;RANDOM_SELECTION;0.1;164.0;331.0;167.0;11.3251505;2.2650306;334.0
5;1.0;RANDOM_SELECTION;0.1;176.0;353.0;181.0;12.166307;2.433262;358.0
6;1.0;RANDOM_SELECTION;0.1;164.0;327.0;169.0;15.858725;3.171745;332.0
7;1.0;RANDOM_SELECTION;0.1;176.0;327.0;171.0;15.734218;3.146844;322.0
8;1.0;RANDOM_SELECTION;0.1;171.0;314.0;175.0;13.67711;2.7354221;318.0
9;1.0;RANDOM_SELECTION;0.1;169.0;327.0;189.0;15.266039;3.0532076;347.0

0;0;RANDOM_SELECTION;[];[]
2;4;RANDOM_SELECTION;[(232031045,0.0000),(232031465,0.0000),(232029870,0.0000),(231039742,0.0000),(232027960,0.0000),(231040064,0.0000),(232031745,0.0000),(231040591,0.0000),(232028026,0.0000),(231040699,0.0000),(231042714,0.0000),(231040139,0.0000),(232027922,0.0000),(231039877,0.0000),(231042468,0.0000),(231041875,0.0000),(232027555,0.0000),(232028305,0.0000),(231043052,0.0000),(232029696,0.0000),(231041256,0.0000),(232030879,0.0000),(231043825,0.0000),(231040947,0.0000),(231040798,0.0000),(232029110,0.0000),(232029998,0.0000),(232032155,0.0000),(231044315,0.0000),(232031964,0.0000),(232029882,0.0000),(231041824,0.0000),(400000963,0.0000),(231040639,0.0000),(231039686,0.0000),(231041734,0.0000),(232029238,0.0000),(281000665,0.0000),(232030482,0.0000),(232029573,0.0000),(231040069,0.0000),(232030547,0.0000),(232030097,0.0000),(232027753,0.0000),(231043775,0.0000),(232030271,0.0000),(232027914,0.0000),(231040162,0.0000),(232027682,0.0000)];[(232031045,0.0000),(232031465,0.0000),(232029870,0.0000),(231039742,0.0000),(232027960,0.0000)]
2;5;RANDOM_SELECTION;[(231044130,0.0000),(232031213,0.0000),(232029597,0.0000),(231040763,0.0000),(231043968,0.0000),(232027507,0.0000),(231040041,0.0000),(231040591,0.0000),(232030254,0.0000),(232031327,0.0000),(232030633,0.0000),(232030045,0.0000),(232027996,0.0000),(232032092,0.0000),(232028468,0.0000),(232029648,0.0000),(231043979,0.0000),(232029785,0.0000),(232029270,0.0000),(232032345,0.0000),(232030512,0.0000),(231044485,0.0000),(231041363,0.0000),(231043876,0.0000),(244075445,0.0000),(231040522,0.0000),(231042678,0.0000),(231044516,0.0000),(232027753,0.0000),(232028916,0.0000),(231039829,0.0000),(231043895,0.0000),(232028421,0.0000),(231043029,0.0000),(231042433,0.0000),(232031472,0.0000),(400007044,0.0000),(231044741,0.0000),(231041331,0.0000),(231039811,0.0000),(231039750,0.0000),(231042435,0.0000),(231039848,0.0000),(232029099,0.0000),(231041051,0.0000),(231040422,0.0000),(232027491,0.0000),(232027839,0.0000),(232029983,0.0000),(231039810,0.0000)];[(231044130,0.0000),(232031213,0.0000),(232029597,0.0000),(231040763,0.0000),(231043968,0.0000)]
2;6;RANDOM_SELECTION;[(231040534,0.0000),(231042718,0.0000),(232030959,0.0000),(231042669,0.0000),(242003113,0.0000),(232032219,0.0000),(232032502,0.0000),(232031732,0.0000),(232028156,0.0000),(242002966,0.0000),(231041759,0.0000),(232029020,0.0000),(232031526,0.0000),(231039795,0.0000),(232027768,0.0000),(232028002,0.0000),(231041667,0.0000),(232029914,0.0000),(232030353,0.0000),(232027600,0.0000),(232027846,0.0000),(231044648,0.0000),(232030917,0.0000),(231041660,0.0000),(232030087,0.0000),(231044509,0.0000),(231041395,0.0000),(400000963,0.0000),(232028135,0.0000),(232029189,0.0000),(232032598,0.0000),(232028720,0.0000),(232028410,0.0000),(231041089,0.0000),(231040010,0.0000),(231043088,0.0000),(242003633,0.0000),(231044890,0.0000),(232027939,0.0000),(232032003,0.0000),(232028474,0.0000),(232028359,0.0000),(231044774,0.0000),(232030412,0.0000),(232028047,0.0000),(232029273,0.0000),(231044414,0.0000),(232027439,0.0000),(231040153,0.0000),(231040642,0.0000)];[(231040534,0.0000),(231042718,0.0000),(232030959,0.0000),(231042669,0.0000),(242003113,0.0000)]
2;7;RANDOM_SELECTION;[(231044625,0.0000),(232032002,0.0000),(231042118,0.0000),(231041612,0.0000),(231041077,0.0000),(235812472,0.0000),(231041925,0.0000),(231042401,0.0000),(231040118,0.0000),(232032152,0.0000),(232027534,0.0000),(400005739,0.0000),(232030726,0.0000),(232028752,0.0000),(400000844,0.0000),(231040040,0.0000),(231040072,0.0000),(235813778,0.0000),(232028586,0.0000),(231043847,0.0000),(231040048,0.0000),(232027462,0.0000),(232030505,0.0000),(232031653,0.0000),(244075610,0.0000),(231043569,0.0000),(232028873,0.0000),(232029937,0.0000),(231043944,0.0000),(231045742,0.0000),(231041744,0.0000),(231040037,0.0000),(230000346,0.0000),(231043887,0.0000),(232030136,0.0000),(400007050,0.0000),(232032686,0.0000),(231040781,0.0000),(231041104,0.0000),(232027747,0.0000),(232028075,0.0000),(231040473,0.0000),(232032209,0.0000),(232031410,0.0000),(236002425,0.0000),(231043251,0.0000),(231042254,0.0000),(232032291,0.0000),(232029945,0.0000)];[(231044625,0.0000),(232032002,0.0000),(231042118,0.0000),(231041612,0.0000),(231041077,0.0000)]
2;8;RANDOM_SELECTION;[(232030864,0.0000),(235812822,0.0000),(232030372,0.0000),(232028601,0.0000),(232030477,0.0000),(231041299,0.0000),(232028401,0.0000),(232027817,0.0000),(232029688,0.0000),(232027538,0.0000),(231045717,0.0000),(232027692,0.0000),(232031539,0.0000),(232030831,0.0000),(231039969,0.0000),(231039940,0.0000),(231040316,0.0000),(231042408,0.0000),(231040422,0.0000),(232029578,0.0000),(232028712,0.0000),(231045080,0.0000),(231041135,0.0000),(232029858,0.0000),(232028588,0.0000),(231043172,0.0000),(231040481,0.0000),(232028497,0.0000),(231043301,0.0000),(231039746,0.0000),(232029430,0.0000),(232027578,0.0000),(231040413,0.0000),(231042193,0.0000),(232030127,0.0000),(400007807,0.0000),(232029537,0.0000),(231043542,0.0000),(231039797,0.0000),(232028645,0.0000),(231044925,0.0000),(231045075,0.0000),(232027883,0.0000),(231044827,0.0000),(400000284,0.0000),(232028077,0.0000),(231042758,0.0000),(232029712,0.0000),(232030962,0.0000),(231045340,0.0000)];[(232030864,0.0000),(235812822,0.0000),(232030372,0.0000),(232028601,0.0000),(232030477,0.0000)]
2;9;RANDOM_SELECTION;[(231040497,0.0000),(231042362,0.0000),(232029074,0.0000),(232027732,0.0000),(231043649,0.0000),(231042785,0.0000),(231040619,0.0000),(232028053,0.0000),(232027719,0.0000),(232030091,0.0000),(242108631,0.0000),(232030751,0.0000),(231039894,0.0000),(232029920,0.0000),(232029291,0.0000),(231039716,0.0000),(232029491,0.0000),(400001297,0.0000),(232030547,0.0000),(232027717,0.0000),(232030796,0.0000),(231041579,0.0000),(231041695,0.0000),(231041545,0.0000),(248016430,0.0000),(242109851,0.0000),(231039848,0.0000),(286018224,0.0000),(231040697,0.0000),(231041700,0.0000),(231041669,0.0000),(232029726,0.0000),(400005804,0.0000),(231041703,0.0000),(232027609,0.0000),(232029950,0.0000),(232027641,0.0000),(232030742,0.0000),(231041361,0.0000),(231040869,0.0000),(231044359,0.0000),(232027714,0.0000),(232027812,0.0000),(231044407,0.0000),(232028564,0.0000),(232028842,0.0000),(232029551,0.0000),(232028856,0.0000),(232028201,0.0000),(232027583,0.0000)];[(231040497,0.0000),(231042362,0.0000),(232029074,0.0000),(232027732,0.0000),(231043649,0.0000)]
3;0;RANDOM_SELECTION;[(231039900,0.0000),(231044343,0.0000),(232028893,0.0000),(235813386,0.0000),(232029282,0.0000),(231039737,0.0000),(231041303,0.0000),(231040942,0.0000),(231043550,0.0000),(232028011,0.0000),(231040443,0.0000),(232029716,0.0000),(232027625,0.0000),(231043689,0.0000),(231039796,0.0000),(231040554,0.0000),(231045513,0.0000),(232027492,0.0000),(231043624,0.0000),(231042218,0.0000),(231041961,0.0000),(232027483,0.0000),(232029280,0.0000),(231044646,0.0000),(231039858,0.0000),(232029736,0.0000),(242109259,0.0000),(231041227,0.0000),(231044764,0.0000),(232028169,0.0000),(232030436,0.0000),(232031242,0.0000),(232029124,0.0000),(232028310,0.0000),(232030974,0.0000),(231042235,0.0000),(231041181,0.0000),(231041105,0.0000),(232031204,0.0000),(400001099,0.0000),(231041096,0.0000),(231039986,0.0000),(231043172,0.0000),(231041003,0.0000),(232030380,0.0000),(232030559,0.0000),(232030270,0.0000),(232029949,0.0000),(232029391,0.0000)];[(231039900,0.0000),(231044343,0.0000),(232028893,0.0000),(235813386,0.0000),(232029282,0.0000)]
3;1;RANDOM_SELECTION;[(231041260,0.0000),(232029213,0.0000),(231040354,0.0000),(231041181,0.0000),(232029826,0.0000),(242109333,0.0000),(232028454,0.0000),(231043441,0.0000),(231043481,0.0000),(231044856,0.0000),(232029731,0.0000),(232030358,0.0000),(232032305,0.0000),(231043076,0.0000),(232028535,0.0000),(232028600,0.0000),(232029472,0.0000),(231042468,0.0000),(231041859,0.0000),(400007535,0.0000),(231040939,0.0000),(232028728,0.0000),(232032377,0.0000),(231040359,0.0000),(231045619,0.0000),(231043709,0.0000),(232029804,0.0000),(232028260,0.0000),(232028040,0.0000),(232029523,0.0000),(232031506,0.0000),(231041057,0.0000),(232028580,0.0000),(231040125,0.0000),(232029588,0.0000),(231042285,0.0000),(232030198,0.0000),(231042793,0.0000),(232028262,0.0000),(231039883,0.0000),(232027793,0.0000),(231044710,0.0000),(231041407,0.0000),(232029891,0.0000),(261001884,0.0000),(231040385,0.0000),(231039998,0.0000),(231041192,0.0000),(244068365,0.0000),(242108796,0.0000)];[(231041260,0.0000),(232029213,0.0000),(231040354,0.0000),(231041181,0.0000),(232029826,0.0000)]
3;2;RANDOM_SELECTION;[(232031766,0.0000),(231041936,0.0000),(242108731,0.0000),(231042665,0.0000),(232030595,0.0000),(281000661,0.0000),(232031812,0.0000),(231040465,0.0000),(232028004,0.0000),(231041596,0.0000),(232027519,0.0000),(231041069,0.0000),(231043700,0.0000),(232027533,0.0000),(232029158,0.0000),(232032052,0.0000),(232030955,0.0000),(231039929,0.0000),(231041216,0.0000),(231040950,0.0000),(231044885,0.0000),(242108910,0.0000),(232027997,0.0000),(231044693,0.0000),(231041224,0.0000),(231040407,0.0000),(232028755,0.0000),(231042333,0.0000),(231045358,0.0000),(232032252,0.0000),(232028633,0.0000),(232028060,0.0000),(231042535,0.0000),(232028182,0.0000),(231042237,0.0000),(231041864,0.0000),(232029606,0.0000),(236002425,0.0000),(231042696,0.0000),(231041463,0.0000),(231039795,0.0000),(232031457,0.0000),(231042437,0.0000),(231043362,0.0000),(231041395,0.0000),(231042678,0.0000),(232032179,0.0000),(286019969,0.0000),(232028816,0.0000),(232031364,0.0000)];[(232031766,0.0000),(231041936,0.0000),(242108731,0.0000),(231042665,0.0000),(232030595,0.0000)]
3;3;RANDOM_SELECTION;[(242002586,0.0000),(231044441,0.0000),(231040909,0.0000),(231040928,0.0000),(231041106,0.0000),(231041551,0.0000),(232029012,0.0000),(231042471,0.0000),(232028029,0.0000),(231039902,0.0000),(232030661,0.0000),(231043725,0.0000),(231041661,0.0000),(232031415,0.0000),(231040291,0.0000),(400005764,0.0000),(232030486,0.0000),(232028043,0.0000),(232029161,0.0000),(231044047,0.0000),(231042151,0.0000),(231039745,0.0000),(232032701,0.0000),(231040549,0.0000),(231041073,0.0000),(232028251,0.0000),(232029615,0.0000),(232028335,0.0000),(231041166,0.0000),(232029021,0.0000),(244075558,0.0000),(231039994,0.0000),(242108313,0.0000),(231039915,0.0000),(232032203,0.0000),(231044951,0.0000),(232031400,0.0000),(232030631,0.0000),(231039734,0.0000),(232029856,0.0000),(231041734,0.0000),(231042068,0.0000),(232030074,0.0000),(231039754,0.0000),(232032755,0.0000),(232031755,0.0000),(244074910,0.0000),(232031320,0.0000),(231042470,0.0000)];[(242002586,0.0000),(231044441,0.0000),(231040909,0.0000),(231040928,0.0000),(231041106,0.0000)]
3;4;RANDOM_SELECTION;[(232030482,0.0000),(231040699,0.0000),(231040798,0.0000),(232027555,0.0000),(232029870,0.0000),(231040639,0.0000),(232027753,0.0000),(231043825,0.0000),(232030097,0.0000),(231039877,0.0000),(400000963,0.0000),(232031902,0.0000),(232030547,0.0000),(232029696,0.0000),(231042216,0.0000),(231040591,0.0000),(231041256,0.0000),(232029998,0.0000),(232028305,0.0000),(231043052,0.0000),(232028026,0.0000),(231039742,0.0000),(232029110,0.0000),(281000665,0.0000),(231044315,0.0000),(232032155,0.0000),(231043775,0.0000),(232027960,0.0000),(232027914,0.0000),(232027682,0.0000),(231041875,0.0000),(232029573,0.0000),(232030879,0.0000),(231040162,0.0000),(231040069,0.0000),(232029238,0.0000),(232031745,0.0000),(232030271,0.0000),(232031964,0.0000),(231042714,0.0000),(231039686,0.0000),(231042468,0.0000),(232029882,0.0000),(232027922,0.0000),(231040064,0.0000),(231040947,0.0000),(231041824,0.0000),(231041734,0.0000),(231040139,0.0000)];[(232030482,0.0000),(231040699,0.0000),(231040798,0.0000),(232027555,0.0000),(232029870,0.0000)]
3;5;RANDOM_SELECTION;[(231039810,0.0000),(232030633,0.0000),(231044516,0.0000),(231043979,0.0000),(231040422,0.0000),(231041363,0.0000),(231041051,0.0000),(232029983,0.0000),(232027613,0.0000),(231039848,0.0000),(232028421,0.0000),(231042435,0.0000),(231039811,0.0000),(232031472,0.0000),(231044485,0.0000),(232029785,0.0000),(231039829,0.0000),(231041331,0.0000),(232029270,0.0000),(232029648,0.0000),(231043895,0.0000),(400007044,0.0000),(231040763,0.0000),(232027839,0.0000),(232031213,0.0000),(232028468,0.0000),(400006871,0.0000),(232028916,0.0000),(232027753,0.0000),(231040591,0.0000),(244075445,0.0000),(232032345,0.0000),(232030045,0.0000),(231040522,0.0000),(231042433,0.0000),(231039750,0.0000),(232031655,0.0000),(231043876,0.0000),(231042678,0.0000),(232032092,0.0000),(231043029,0.0000),(232027491,0.0000),(231042509,0.0000),(231044741,0.0000),(232030512,0.0000),(232030254,0.0000),(232027507,0.0000),(232029099,0.0000),(232029597,0.0000),(232031327,0.0000)];[(231039810,0.0000),(232030633,0.0000),(231044516,0.0000),(231043979,0.0000),(231040422,0.0000)]
3;6;RANDOM_SELECTION;[(232029020,0.0000),(232030353,0.0000),(232027439,0.0000),(232028156,0.0000),(231041660,0.0000),(232029914,0.0000),(232032003,0.0000),(232028720,0.0000),(232030087,0.0000),(232028047,0.0000),(231044336,0.0000),(231040010,0.0000),(231039950,0.0000),(232027600,0.0000),(232032598,0.0000),(232029273,0.0000),(232032502,0.0000),(231040153,0.0000),(242003113,0.0000),(231041089,0.0000),(231039795,0.0000),(231044087,0.0000),(232030412,0.0000),(232028359,0.0000),(232027768,0.0000),(400000963,0.0000),(242003633,0.0000),(242003866,0.0000),(232031732,0.0000),(232028002,0.0000),(232028410,0.0000),(231044774,0.0000),(231044648,0.0000),(232031526,0.0000),(231044509,0.0000),(232030917,0.0000),(232030959,0.0000),(231040642,0.0000),(231041807,0.0000),(231041667,0.0000),(231044414,0.0000),(232032219,0.0000),(232028135,0.0000),(232027939,0.0000),(231041759,0.0000),(242002966,0.0000),(231040254,0.0000),(232027846,0.0000),(232030261,0.0000)];[(232029020,0.0000),(232030353,0.0000),(232027439,0.0000),(232028156,0.0000),(231041660,0.0000)]
3;7;RANDOM_SELECTION;[(231043754,0.0000),(231040072,0.0000),(231045742,0.0000),(232032291,0.0000),(231040037,0.0000),(232032686,0.0000),(231040781,0.0000),(235812472,0.0000),(232028752,0.0000),(231040040,0.0000),(232027747,0.0000),(232029937,0.0000),(231043090,0.0000),(400007050,0.0000),(231039947,0.0000),(281000739,0.0000),(231044625,0.0000),(400005739,0.0000),(231041744,0.0000),(232031653,0.0000),(232027534,0.0000),(400000844,0.0000),(232028586,0.0000),(232030505,0.0000),(232032152,0.0000),(231043251,0.0000),(230000346,0.0000),(232027462,0.0000),(231042118,0.0000),(231043569,0.0000),(231042401,0.0000),(236002425,0.0000),(232032209,0.0000),(232028873,0.0000),(231043944,0.0000),(231040473,0.0000),(231040118,0.0000),(232030726,0.0000),(231042254,0.0000),(231043449,0.0000),(232028075,0.0000),(232029494,0.0000),(231041409,0.0000),(231043887,0.0000),(231043847,0.0000),(235813778,0.0000),(232027950,0.0000),(231039950,0.0000),(232032755,0.0000)];[(231043754,0.0000),(231040072,0.0000),(231045742,0.0000),(232032291,0.0000),(231040037,0.0000)]
3;8;RANDOM_SELECTION;[(232031097,0.0000),(231043542,0.0000),(232027817,0.0000),(232028645,0.0000),(232028588,0.0000),(231039746,0.0000),(231042758,0.0000),(231045075,0.0000),(232028712,0.0000),(231039732,0.0000),(232029688,0.0000),(231045814,0.0000),(231045340,0.0000),(232028401,0.0000),(231039969,0.0000),(232028768,0.0000),(231041299,0.0000),(231040203,0.0000),(232030864,0.0000),(232027820,0.0000),(231045080,0.0000),(232027578,0.0000),(400000284,0.0000),(232029578,0.0000),(231043301,0.0000),(232029858,0.0000),(232030962,0.0000),(232029537,0.0000),(231042193,0.0000),(232029712,0.0000),(231039940,0.0000),(232030127,0.0000),(232028497,0.0000),(400007807,0.0000),(242109851,0.0000),(231039797,0.0000),(231040413,0.0000),(232027692,0.0000),(232029430,0.0000),(232028077,0.0000),(231044925,0.0000),(231040481,0.0000),(232031539,0.0000),(231044827,0.0000),(232027538,0.0000),(231042408,0.0000),(231041135,0.0000),(231040422,0.0000),(231045717,0.0000),(232030831,0.0000)];[(232031097,0.0000),(231043542,0.0000),(232027817,0.0000),(232028645,0.0000),(232028588,0.0000)]
3;9;RANDOM_SELECTION;[(231040497,0.0000),(231042362,0.0000),(232029074,0.0000),(232027732,0.0000),(231043649,0.0000),(231042785,0.0000),(231040619,0.0000),(232028053,0.0000),(232027719,0.0000),(232030091,0.0000),(242108631,0.0000),(232030751,0.0000),(231039894,0.0000),(232029920,0.0000),(232029291,0.0000),(231039716,0.0000),(232029491,0.0000),(400001297,0.0000),(232030547,0.0000),(232027717,0.0000),(232030796,0.0000),(231041579,0.0000),(231041695,0.0000),(231041545,0.0000),(248016430,0.0000),(242109851,0.0000),(231039848,0.0000),(286018224,0.0000),(231040697,0.0000),(231041700,0.0000),(231041669,0.0000),(232029726,0.0000),(400005804,0.0000),(231041703,0.0000),(232027609,0.0000),(232029950,0.0000),(232027641,0.0000),(232030742,0.0000),(231041361,0.0000),(231040869,0.0000),(231044359,0.0000),(232027714,0.0000),(232027812,0.0000),(231044407,0.0000),(232028564,0.0000),(232028842,0.0000),(232029551,0.0000),(232028856,0.0000),(232028201,0.0000),(232027583,0.0000)];[(231040497,0.0000),(231042362,0.0000),(232029074,0.0000),(232027732,0.0000),(231043649,0.0000)]
4;0;RANDOM_SELECTION;[(235813386,0.0000),(232029949,0.0000),(232028169,0.0000),(231040554,0.0000),(232029716,0.0000),(232027492,0.0000),(231039796,0.0000),(232027625,0.0000),(231040030,0.0000),(232031204,0.0000),(232029736,0.0000),(231043172,0.0000),(232029280,0.0000),(231043624,0.0000),(232030974,0.0000),(232029391,0.0000),(232030270,0.0000),(232028310,0.0000),(400001099,0.0000),(232029567,0.0000),(231039737,0.0000),(231042218,0.0000),(231041303,0.0000),(232028011,0.0000),(231041181,0.0000),(232030436,0.0000),(231041096,0.0000),(231040443,0.0000),(232028893,0.0000),(231040177,0.0000),(231041105,0.0000),(231044764,0.0000),(232031242,0.0000),(231040942,0.0000),(232030380,0.0000),(231042235,0.0000),(231044646,0.0000),(242109259,0.0000),(231039986,0.0000),(231045513,0.0000),(232030559,0.0000),(231043689,0.0000),(231041961,0.0000),(231041003,0.0000),(231041227,0.0000),(232027483,0.0000),(231043550,0.0000),(232029124,0.0000),(231039858,0.0000),(231039900,0.0000)];[(235813386,0.0000),(232029949,0.0000),(232028169,0.0000),(231040554,0.0000),(232029716,0.0000)]
4;1;RANDOM_SELECTION;[(231039998,0.0000),(231042468,0.0000),(231041407,0.0000),(232027793,0.0000),(231045327,0.0000),(231045619,0.0000),(231041859,0.0000),(231043481,0.0000),(232030198,0.0000),(231040640,0.0000),(232029731,0.0000),(400007535,0.0000),(232032305,0.0000),(231040385,0.0000),(231040167,0.0000),(232029472,0.0000),(232028487,0.0000),(232029588,0.0000),(231041101,0.0000),(261001884,0.0000),(232028600,0.0000),(231040915,0.0000),(232028040,0.0000),(232028260,0.0000),(231043441,0.0000),(231039684,0.0000),(231041647,0.0000),(231044856,0.0000),(232028371,0.0000),(232028454,0.0000),(232029804,0.0000),(231042793,0.0000),(231039883,0.0000),(232027999,0.0000),(231041379,0.0000),(231044710,0.0000),(231040125,0.0000),(231043076,0.0000),(232030358,0.0000),(232032377,0.0000),(244068365,0.0000),(231041192,0.0000),(231040359,0.0000),(231043709,0.0000),(231040340,0.0000),(231045125,0.0000),(242108796,0.0000),(232028055,0.0000),(232028808,0.0000),(232031506,0.0000)];[(231039998,0.0000),(231042468,0.0000),(231041407,0.0000),(232027793,0.0000),(231045327,0.0000)]
4;2;RANDOM_SELECTION;[(232031766,0.0000),(231041936,0.0000),(242108731,0.0000),(231042665,0.0000),(232030595,0.0000),(281000661,0.0000),(232031812,0.0000),(231040465,0.0000),(232028004,0.0000),(231041596,0.0000),(232027519,0.0000),(231041069,0.0000),(231043700,0.0000),(232027533,0.0000),(232029158,0.0000),(232032052,0.0000),(232030955,0.0000),(231039929,0.0000),(231041216,0.0000),(231040950,0.0000),(231044885,0.0000),(242108910,0.0000),(232027997,0.0000),(231044693,0.0000),(231041224,0.0000),(231040407,0.0000),(232028755,0.0000),(231042333,0.0000),(231045358,0.0000),(232032252,0.0000),(232028633,0.0000),(232028060,0.0000),(231042535,0.0000),(232028182,0.0000),(231042237,0.0000),(231041864,0.0000),(232029606,0.0000),(236002425,0.0000),(231042696,0.0000),(231041463,0.0000),(231039795,0.0000),(232031457,0.0000),(231042437,0.0000),(231043362,0.0000),(231041395,0.0000),(231042678,0.0000),(232032179,0.0000),(286019969,0.0000),(232028816,0.0000),(232031364,0.0000)];[(232031766,0.0000),(231041936,0.0000),(242108731,0.0000),(231042665,0.0000),(232030595,0.0000)]
4;3;RANDOM_SELECTION;[(242002586,0.0000),(231044441,0.0000),(231040909,0.0000),(231040928,0.0000),(231041106,0.0000),(231041551,0.0000),(232029012,0.0000),(231042471,0.0000),(232028029,0.0000),(231039902,0.0000),(232030661,0.0000),(231043725,0.0000),(231041661,0.0000),(232031415,0.0000),(231040291,0.0000),(400005764,0.0000),(232030486,0.0000),(232028043,0.0000),(232029161,0.0000),(231044047,0.0000),(231042151,0.0000),(231039745,0.0000),(232032701,0.0000),(231040549,0.0000),(231041073,0.0000),(232028251,0.0000),(232029615,0.0000),(232028335,0.0000),(231041166,0.0000),(232029021,0.0000),(244075558,0.0000),(231039994,0.0000),(242108313,0.0000),(231039915,0.0000),(232032203,0.0000),(231044951,0.0000),(232031400,0.0000),(232030631,0.0000),(231039734,0.0000),(232029856,0.0000),(231041734,0.0000),(231042068,0.0000),(232030074,0.0000),(231039754,0.0000),(232032755,0.0000),(232031755,0.0000),(244074910,0.0000),(232031320,0.0000),(231042470,0.0000)];[(242002586,0.0000),(231044441,0.0000),(231040909,0.0000),(231040928,0.0000),(231041106,0.0000)]
4;4;RANDOM_SELECTION;[(232030482,0.0000),(231040699,0.0000),(231040798,0.0000),(232027555,0.0000),(232029870,0.0000),(231040639,0.0000),(232027753,0.0000),(231043825,0.0000),(232030097,0.0000),(231039877,0.0000),(400000963,0.0000),(232031902,0.0000),(232030547,0.0000),(232029696,0.0000),(231042216,0.0000),(231040591,0.0000),(231041256,0.0000),(232029998,0.0000),(232028305,0.0000),(231043052,0.0000),(232028026,0.0000),(231039742,0.0000),(232029110,0.0000),(281000665,0.0000),(231044315,0.0000),(232032155,0.0000),(231043775,0.0000),(232027960,0.0000),(232027914,0.0000),(232027682,0.0000),(231041875,0.0000),(232029573,0.0000),(232030879,0.0000),(231040162,0.0000),(231040069,0.0000),(232029238,0.0000),(232031745,0.0000),(232030271,0.0000),(232031964,0.0000),(231042714,0.0000),(231039686,0.0000),(231042468,0.0000),(232029882,0.0000),(232027922,0.0000),(231040064,0.0000),(231040947,0.0000),(231041824,0.0000),(231041734,0.0000),(231040139,0.0000)];[(232030482,0.0000),(231040699,0.0000),(231040798,0.0000),(232027555,0.0000),(232029870,0.0000)]
4;5;RANDOM_SELECTION;[(231039810,0.0000),(232030633,0.0000),(231044516,0.0000),(231043979,0.0000),(231040422,0.0000),(231041363,0.0000),(231041051,0.0000),(232029983,0.0000),(232027613,0.0000),(231039848,0.0000),(232028421,0.0000),(231042435,0.0000),(231039811,0.0000),(232031472,0.0000),(231044485,0.0000),(232029785,0.0000),(231039829,0.0000),(231041331,0.0000),(232029270,0.0000),(232029648,0.0000),(231043895,0.0000),(400007044,0.0000),(231040763,0.0000),(232027839,0.0000),(232031213,0.0000),(232028468,0.0000),(400006871,0.0000),(232028916,0.0000),(232027753,0.0000),(231040591,0.0000),(244075445,0.0000),(232032345,0.0000),(232030045,0.0000),(231040522,0.0000),(231042433,0.0000),(231039750,0.0000),(232031655,0.0000),(231043876,0.0000),(231042678,0.0000),(232032092,0.0000),(231043029,0.0000),(232027491,0.0000),(231042509,0.0000),(231044741,0.0000),(232030512,0.0000),(232030254,0.0000),(232027507,0.0000),(232029099,0.0000),(232029597,0.0000),(232031327,0.0000)];[(231039810,0.0000),(232030633,0.0000),(231044516,0.0000),(231043979,0.0000),(231040422,0.0000)]
